cell_family,chemistry_type,pulse_direction,abs_c_rate,soc_percent_round,n,median_r_fast_mohm,median_r_100ms_mohm,median_r_1s_mohm
SIB,sodium-ion,discharge,1.0,0.0,6,77.89999999999999,107.66000000000001,127.66
SIB,sodium-ion,discharge,1.0,10.0,6,78.735,93.2,98.79499999999999
SIB,sodium-ion,discharge,1.0,20.0,6,80.025,91.985,95.305
SIB,sodium-ion,discharge,1.0,30.0,3,83.54,93.83,96.49000000000001
SIB,sodium-ion,discharge,1.0,40.0,6,78.895,89.26500000000001,91.80499999999999
SIB,sodium-ion,discharge,1.0,50.0,5,76.53999999999999,87.09,89.5
SIB,sodium-ion,discharge,1.0,60.0,6,81.25,88.93,91.09
SIB,sodium-ion,discharge,1.0,70.0,6,80.245,89.7,92.06
SIB,sodium-ion,discharge,1.0,80.0,8,77.07,84.615,87.48
SIB,sodium-ion,discharge,1.0,90.0,8,76.28,85.525,90.225
SIB,sodium-ion,discharge,1.0,100.0,3,100.08,141.99,168.96
SIB,sodium-ion,discharge,2.0,0.0,6,75.53999999999999,99.78,117.2
SIB,sodium-ion,discharge,2.0,10.0,6,76.89,89.645,94.825
SIB,sodium-ion,discharge,2.0,20.0,6,77.39999999999999,87.55,90.34
SIB,sodium-ion,discharge,2.0,30.0,3,80.8,89.44000000000001,91.6
SIB,sodium-ion,discharge,2.0,40.0,6,76.095,84.78,86.91
SIB,sodium-ion,discharge,2.0,50.0,5,77.05,82.96000000000001,84.8
SIB,sodium-ion,discharge,2.0,60.0,6,78.325,84.225,86.2
SIB,sodium-ion,discharge,2.0,70.0,6,78.555,84.87,86.85
SIB,sodium-ion,discharge,2.0,80.0,8,74.39,80.41999999999999,82.805
SIB,sodium-ion,discharge,2.0,90.0,8,73.745,81.44999999999999,85.78
SIB,sodium-ion,discharge,2.0,100.0,3,96.76,131.20000000000002,154.28
SIB,sodium-ion,discharge,3.0,0.0,6,72.975,94.38499999999999,109.435
SIB,sodium-ion,discharge,3.0,10.0,6,73.17999999999999,84.535,89.17500000000001
SIB,sodium-ion,discharge,3.0,20.0,6,74.44000000000001,83.24000000000001,85.935
SIB,sodium-ion,discharge,3.0,30.0,3,77.89,85.13,87.0
SIB,sodium-ion,discharge,3.0,40.0,6,73.58500000000001,80.645,82.525
SIB,sodium-ion,discharge,3.0,50.0,5,74.26,78.78,80.56
SIB,sodium-ion,discharge,3.0,60.0,6,75.35,80.035,81.93
SIB,sodium-ion,discharge,3.0,70.0,6,75.42999999999999,80.505,82.315
SIB,sodium-ion,discharge,3.0,80.0,8,69.98,74.66000000000001,76.94999999999999
SIB,sodium-ion,discharge,3.0,90.0,8,68.98,75.495,79.185
SIB,sodium-ion,discharge,3.0,100.0,3,92.57,122.94,143.49
